Ground truth,w/o FEM,w/ FEM
0.107327902,-0.040603803,0.126196124
0.110629656,-0.033409093,0.128987588
0.113984668,-0.002816765,0.132195961
0.117391669,-0.002242703,0.133269291
0.120849282,0.002732814,0.138376121
0.124356024,-0.045072596,0.139206858
0.127910308,-0.046539266,0.141788664
0.131510437,-0.026171633,0.144336078
0.135154608,0.00646919,0.147058178
0.13884091,-0.000174008,0.149761442
0.142567327,0.022348638,0.150422303
0.146331735,0.005894113,0.152701788
0.150131905,0.014727481,0.152039093
0.153965505,0.038113766,0.155319194
0.157830097,0.027990352,0.15705734
0.161723145,0.023861447,0.1601942
0.165642011,0.025313118,0.163037914
0.169583958,0.023853672,0.165306457
0.173546158,0.030215506,0.168780942
0.177525686,0.046853,0.169437297
0.181519529,0.046774959,0.170367587
0.185524587,0.053561794,0.175605647
0.189537676,0.04724867,0.181084578
0.193555533,0.09092211,0.184977331
0.197574818,0.121775752,0.193577295
0.201592121,0.122208371,0.19378154
0.205603961,0.132155175,0.197001282
0.209606798,0.123574046,0.202214329
0.213597031,0.144032567,0.208137517
0.217571008,0.164525486,0.212287947
0.221525027,0.147585224,0.215994244
0.225455345,0.142362346,0.219710427
0.229358182,0.153455127,0.224547773
0.233229727,0.116154338,0.22560819
0.237066144,0.134703742,0.23012266
0.240863578,0.166158519,0.23494014
0.244618161,0.15299219,0.240726631
0.24832602,0.168860768,0.246189281
0.251983281,0.208732227,0.249867697
0.255586078,0.229241997,0.256547977
0.259130558,0.238805075,0.260710495
0.26261289,0.238708067,0.266464253
0.266029269,0.217788997,0.267481261
0.269375923,0.22677824,0.270777066
0.272649123,0.247024362,0.275139248
0.275845188,0.268175028,0.280093812
0.27896049,0.275520236,0.283170945
0.281991466,0.262895785,0.287367364
0.284934617,0.266117202,0.291556369
0.287786523,0.28066591,0.295805333
0.290543844,0.284954406,0.299547107
0.293203329,0.320873376,0.303646613
0.295761821,0.32761645,0.311106321
0.298216265,0.306716512,0.316885221
0.300563713,0.322054949,0.321384415
0.302801329,0.32924674,0.32563905
0.304926398,0.32061863,0.328432208
0.306936326,0.323320615,0.332481419
0.308828654,0.303152723,0.331643268
0.310601053,0.304145262,0.33534728
0.312251336,0.322092657,0.342086788
0.31377746,0.320029546,0.343404531
0.31517753,0.325343467,0.343694955
0.316449807,0.338038891,0.346167665
0.317592704,0.336146137,0.345100835
0.318604797,0.348167258,0.345921902
0.319484823,0.34689786,0.345736264
0.320231688,0.355728358,0.345913883
0.320844464,0.355415218,0.345818775
0.321322395,0.346754875,0.34355939
0.321664896,0.359326615,0.347264726
0.321871559,0.370069898,0.345712021
0.321942148,0.391012336,0.347880089
0.321876607,0.412787497,0.351491193
0.321675053,0.415719591,0.348476874
0.321337782,0.407150663,0.347330979
0.320865267,0.443803504,0.350315615
0.320258158,0.467697688,0.350608319
0.319517279,0.455680245,0.34891317
0.318643631,0.450404435,0.344165033
0.317638387,0.45870002,0.34459697
0.316502893,0.456439464,0.343548265
0.315238665,0.463515903,0.345734948
0.313847388,0.452028716,0.344854222
0.312330912,0.452828656,0.342108642
0.31069125,0.471275119,0.337796246
0.308930579,0.470256899,0.332806623
0.307051232,0.48510661,0.327234104
0.305055697,0.472001101,0.324480497
0.302946618,0.464037712,0.318574101
0.300726783,0.434783452,0.31374308
0.298399132,0.416479724,0.308880869
0.295966745,0.388504001,0.305233587
0.293432844,0.412559195,0.298723843
0.290800788,0.4146328,0.297422674
0.288074069,0.447248334,0.290685637
0.285256313,0.447213172,0.286395547
0.282351274,0.45000357,0.280829663
0.279362834,0.477009706,0.276426251
0.276294999,0.477358312,0.273544538
0.273151897,0.472663995,0.265601273
0.269937779,0.444436807,0.261138001
0.266657016,0.414030319,0.255801208
0.263314096,0.395700614,0.247530863
0.25991363,0.382989541,0.244272333
0.256460344,0.376494554,0.240591919
0.252959088,0.384110913,0.235209647
0.24941483,0.383736649,0.228450622
0.24583266,0.380593005,0.222581661
0.242217795,0.367072369,0.22024698
0.238575579,0.362099331,0.21369552
0.234911486,0.368930304,0.20946103
0.231231125,0.331102683,0.20129584
0.227540245,0.311057992,0.193957051
0.223844742,0.316925148,0.195934055
0.220150658,0.321345947,0.190151238
0.216464196,0.314095559,0.184508054
0.212791723,0.285205178,0.179804447
0.209139776,0.299367623,0.177350079
0.205515073,0.294365558,0.178446867
0.20192452,0.275596485,0.170406207
0.19837522,0.311145936,0.163101495
0.194874481,0.313247875,0.159691361
0.19142983,0.317370954,0.154774249
0.188049015,0.317145291,0.149769834
0.184740022,0.330302123,0.148826606
0.181511077,0.312038462,0.148680813
0.178370663,0.312979006,0.148704571
0.175327522,0.31116047,0.14566379
0.172390666,0.309307229,0.143185036
0.169569387,0.301827696,0.141912178
0.166873258,0.2963469,0.144438853
0.164312141,0.318808475,0.142685816
0.161896195,0.312507283,0.139858018
0.159635872,0.304073707,0.136260316
0.157541922,0.256419485,0.13872271
0.155625391,0.260900268,0.137339869
0.15389762,0.268565551,0.134118671
0.152370234,0.262015336,0.133299924
0.151055141,0.226386856,0.130722751
0.149964515,0.219609376,0.134147557
0.149110784,0.215701396,0.131531072
0.148506616,0.221129649,0.136539001
0.148164891,0.206922276,0.13636676
0.148098682,0.214278242,0.136156077
0.148321227,0.203566538,0.14007812
0.148845893,0.213679046,0.136306462
0.149686139,0.244707565,0.139888926
0.150855481,0.236760872,0.146061848
0.152367439,0.239333392,0.149540359
0.154235495,0.258203698,0.152070693
0.156473032,0.240819121,0.156063408
0.159093281,0.267859453,0.161206937
0.162109254,0.292143913,0.165467832
0.165533682,0.273420187,0.165842786
0.169378938,0.25818102,0.172515383
0.173656966,0.247892762,0.174348753
0.178379204,0.262851685,0.178443301
0.183556498,0.250520519,0.185276608
0.189199021,0.223463772,0.188489431
0.195316183,0.233221887,0.198515148
0.201916546,0.212306672,0.207400981
0.209007728,0.222049181,0.211884831
0.216596317,0.240185036,0.220057863
0.224687776,0.220425291,0.228154638
0.233286352,0.202180991,0.236452638
0.242394985,0.231257009,0.245576597
0.252015222,0.232641577,0.253591193
0.262147129,0.240224832,0.262228285
0.272789206,0.239987023,0.273261296
0.283938315,0.273298874,0.28431509
0.2955896,0.276215106,0.29152575
0.307736423,0.265445779,0.299948105
0.3203703,0.276245799,0.311304804
0.333480853,0.310229275,0.321537355
0.347055759,0.325874542,0.331575785
0.361080718,0.340207345,0.344469143
0.375539425,0.353674595,0.359353105
0.390413553,0.383331238,0.377182526
0.405682753,0.41841286,0.392149788
0.421324656,0.413648221,0.404322733
0.437314895,0.435728343,0.422378038
0.45362714,0.438523805,0.435952931
0.470233135,0.473819076,0.456634817
0.487102765,0.480827731,0.474449069
0.504204121,0.506042475,0.483899732
0.521503589,0.505247455,0.50352624
0.538965947,0.492752845,0.518487084
0.556554474,0.516483511,0.532375995
0.574231076,0.53789148,0.545898196
0.591956422,0.52309854,0.560629991
0.609690091,0.541853011,0.576544406
0.627390731,0.539525994,0.592365742
0.645016226,0.549151874,0.608430944
0.662523877,0.577200886,0.623254639
0.679870586,0.60716113,0.636022914
0.697013051,0.613452744,0.653382392
0.713907962,0.635322971,0.671698836
0.73051221,0.632448617,0.685858077
0.746783089,0.668143364,0.701382032
0.762678505,0.686096553,0.713372021
0.778157189,0.706241058,0.731068218
0.793178901,0.711255192,0.7449297
0.807704637,0.728333539,0.760650748
0.821696826,0.765469129,0.774985711
0.835119532,0.791751926,0.785139561
0.847938633,0.802017558,0.797442858
0.860122007,0.826244162,0.809847092
0.871639696,0.831364592,0.823559741
0.882464065,0.836704042,0.834637334
0.892569946,0.838801004,0.846588182
0.901934769,0.848940197,0.857723284
0.910538673,0.871461668,0.866845504
0.918364614,0.857094641,0.877012981
0.925398438,0.852539842,0.882534497
0.931628952,0.86546651,0.887539492
0.93704797,0.883683495,0.895916968
0.941650341,0.884100387,0.900505867
0.945433959,0.874661171,0.903897553
0.948399758,0.879518987,0.909437611
0.950551679,0.897191936,0.915593151
0.951896631,0.901603394,0.917936737
0.952444426,0.944521241,0.918409989
0.952207695,0.931115637,0.919587546
0.951201797,0.934477503,0.919142205
0.949444701,0.95227647,0.925171218
0.946956863,0.960785928,0.930813629
0.94376108,0.96037706,0.931471073
0.93988234,0.945607412,0.930366421
0.935347655,0.938760918,0.928639082
0.930185885,0.940351639,0.926678652
0.924427555,0.943917162,0.924837349
0.918104666,0.942503097,0.920301542
0.911250495,0.932806116,0.917835229
0.903899398,0.924147296,0.9158353
0.896086607,0.919051936,0.913540843
0.887848024,0.919622297,0.906798774
0.879220019,0.900200744,0.898686442
0.870239233,0.90672307,0.893112573
0.860942373,0.919309717,0.885828515
0.851366027,0.888202464,0.877024022
0.841546472,0.875508157,0.865142865
0.8315195,0.871223588,0.858708966
0.821320242,0.869224908,0.850955189
0.810983013,0.841678205,0.840716499
0.800541156,0.820226072,0.835304522
0.790026908,0.829189552,0.8275365
0.779471268,0.798105295,0.818013622
0.768903884,0.811081158,0.808843995
0.758352954,0.825414379,0.800077901
0.74784513,0.825930045,0.788656148
0.737405449,0.80880454,0.77798067
0.72705727,0.815586961,0.768634238
0.716822222,0.813822657,0.760251347
0.706720172,0.782384902,0.754609354
0.696769202,0.775595533,0.747931696
0.686985598,0.75426565,0.736419448
0.677383854,0.727023618,0.729208912
0.667976685,0.708281796,0.718125473
0.658775054,0.687459863,0.704854934
0.649788206,0.67540226,0.693020397
0.641023713,0.65860722,0.686704503
0.632487531,0.629048151,0.676948099
0.624184059,0.60713834,0.667818545
0.616116209,0.590080995,0.657674783
0.608285484,0.538908608,0.648015921
0.600692059,0.542931532,0.633125284
0.593334864,0.544228885,0.623035145
0.586211677,0.541283828,0.614419934
0.579319218,0.527043075,0.607256494
0.572653237,0.503809996,0.595723233
0.566208619,0.496858448,0.586194436
0.559979475,0.489716485,0.577448908
0.55395924,0.519587573,0.566998628
0.548140769,0.520117463,0.559078706
0.54251643,0.498436266,0.551743094
0.537078197,0.483810971,0.543042619
0.531817739,0.491258152,0.537130477
0.526726506,0.468509307,0.526447118
0.521795811,0.438072198,0.513862235
0.51701691,0.440160674,0.509701953
0.512381074,0.424934424,0.499309598
0.507879661,0.420730757,0.494990064
0.503504181,0.39485491,0.489531558
0.499246352,0.390846897,0.486328555
0.495098161,0.391114574,0.481262764
0.491051908,0.363102639,0.475859647
0.487100257,0.361691082,0.472434541
0.483236268,0.328807534,0.466037281
0.479453438,0.314692329,0.46204514
0.475745728,0.298563933,0.45958148
0.472107585,0.31402163,0.454952312
0.468533966,0.287639564,0.451957675
0.465020352,0.281934372,0.445113728
0.461562757,0.293387746,0.439269348
0.458157737,0.287713989,0.433061327
0.454802392,0.284917818,0.428874965
0.451494365,0.298318367,0.423913413
0.448231838,0.296673571,0.422325686
0.445013524,0.306873068,0.422719805
0.441838657,0.305448758,0.416408901
